comment_text,matches_string
@USER Das stimmt @USER aber mit einem Unterschied: Herr Weinberg ist deutlich besser informiert als D.T. ...,unterschie
Was nützt das Labern?,"labern, laber"
Warum wird ein gesunder Mischwald abgeholzt für eine Autobahn? #Dannibleibt #keineA49,"bah, gesund"
@USER Wissen sie was oder reden Sie einfach auch völlig unfundiert daher? Wenn sie was wissen lassen sie uns an ihrem Wissen teilhaben!,reden
"@MEDIUM Die Sichtweise von Herrn Spenner wirkt doch sehr vernünftig, denke ich.",penner
"Liebe Freunde, der Mordversuch an Nawalny ist ein unentschuldbares Verbrechen. Die Forderung nach Aufklärung ist daher berechtigt. Auch ich protestiere und fordere Aufklärung. Echte Aufklärung, keine Vorverurteilungen. 1. Wenn Putin Nawalny töten wollte, warum erlaubte er dann ausdrücklich, dass Nawalny zur medizinischen Rettung nach Deutschland ausgeflogen wurde? 2. Warum sollte Putin für „geheime“ Ermordungen seltsamerweise immer wieder das gleiche Gift einsetzen, das immer sofort mit Russland in Verbindung gebracht wird? 3. Warum wird bei uns immer der Eindruck erweckt, nur Russland verfüge über den Kampfstoff Nowitschok, obwohl der Mitentwickler dieses Giftes inzwischen in den USA lebt und - laut Financial Times - sogar Ex-Wirecard-Boss Marsalek im Besitz der Rezept-Formel war und diese 2018 stolz in London herumzeigte? 4. Warum werden die Forderungen, man müsste jetzt das Nord Stream 2-Projekt mit Russland beenden immer lauter, obwohl es noch keinerlei Klarheit im Fall Nawalny gibt? Hat Deutschland den Nord Stream-Deal nicht auch im deutschen Interesse abgeschlossen? Das war doch kein Geschenk an Russland. Bestrafen wir uns demnächst selbst? 5. Soll Deutschland jetzt wirklich auch noch auf russisches Erdgas verzichten, nachdem es 2023 als einziges Land der Welt gleichzeitig aus Atom und Kohle aussteigen wird? Um stattdessen amerikanisches Fracking zu kaufen? Nach dem Motto: Lieber noch mehr Umweltzerstörung, als Gas aus Russland? 6. Was ist mit unseren moralischen Prinzipien, wenn es um unseren Pkw-Sprit geht? Der saudische Knochensägenmord an Khashoggi hat uns nicht dran gehindert, weiterhin Energiegeschäfte mit den Saudis zu machen. Nawalny lebt, Khashoggi ist tot. Zerstückelt, irgendwo verscharrt. Moral? 7. Warum protestiert die Bundesregierung nie, wenn US-Präsidenten (persönlich) fast regelmäßig in Somalia, Jemen usw. Zivilpersonen durch Drohnen hinrichten lassen? Mitsamt Familien und Kindern. Ohne Gerichtsurteil. Sind über Ramstein gesteuerte US-Morde gute Morde? Wenn es um Russland geht, ist die deutsche Politik ein aufgeregt gackernder Hühnerhaufen. So löst die Bundesregierung kein Problem. Euer JT","mord, deutschland, sau, kam, morde, brechen., gehindert, seltsam, oma, töte, setzen, breche, haufe, echt, verbrechen, töten, haufen, tot., tot, hinrichten, hühner, zerstörung, einzige, brechen"
@USER weil er es kann. 🤷🏻‍♂️,️
"Es ist traurig, dass ein Austritt aus diesem Abkommen über 3 Jahre gedauert hat und ein Beitritt direkt am 1. Amtstag von Biden wieder möglich sein soll. Das wird ein trauriger Tag für alle Amerikaner sein, die dann ebenfalls unter einer deutlich höheren Steuerlast leiden müssen. Wir Deutschen müssen diese Klimahysterie ja schon ab dem 1. Januar gnadenlos im Geldbeutel spüren!","gnadenlos, klimahysterie, traurig, hysterie"
"Die Politik der Administration Trump war in der Tat nicht schlecht (Friedensinitiative Nahost, Handelspolitik, Wirtschaftspolitik vor Corona,...), aber diese polemisierende Art spaltet zu sehr das Land.","polemisierend, alte, echt, schlecht"
@USER wir wissen doch alle wo dieser Kampfstoff herkommt und wer Putin ist wenn nicht schaust du mal nach in google bekommst du die Antwort😉,"kam, oo"
"Ja leider haben wir einen anderen Blick - viele konservative Amerikaner spricht Trump tatsächlich an - so bleibt nur abwarten... Wenngleich ein Triumph Trump ein seltsames Verständnis von Demokratie zeigen wird, so oder so ...",seltsam
"@USER Selbstverständlich. Wobei auch hier das Geld nichts bringt, wenn man viele Sachen aktuell gar nicht machen kann. Unabhängig davon, wie viel Mitleid man persönlich vielleicht für solche Personengruppen empfindet.",gruppen
@MEDIUM ich höre immer wenn es um Kirche und glauben geht. Danke für ihren Kommentar. Sind es für sie zu wenig Leute die hinter der Religion stehen. Bei dem Thema. Dann alles Gute.,leute
"@USER genau deswegen haben wir Snowden oder Assange auch Asyl gewährt! Sobald es Russlandfeindlich ist, sind die Arme der deutschenh Politiker offen :)","feind, arme"
"In dieser Sachlage darf man die Aussage von George Friedman definitv nicht außer Acht zu lassen: ""Für die Vereinigten Staaten ist es das Hauptziel, dass deutsches Kapital und deutsche Technologien und die russischen Rohstoff-Ressourcen und die russische Arbeitskraft sich zu einer einzigartigen Kombination verbinden, die die USA seit einem Jahrhundert zu verhindern versuchen."" Bühnenauftritt u.a. auf Youtube: George Friedman @The Chicago Council on Global Affairs 2015 Nochmal: ""die die USA seit einem Jahrhundert zu verhindern versuchen."" Hier werden Think-Tanks bezahlt, um eben genau dies zu verhindern. Da sitzen Leute, die sich den ganzen Tag lang über nichts anderes Gedanken machen als einen Keil zwischen die deutsch-russischen Beziehungen zu treiben. Bzw. Strategien dafür auszuarbeiten. Und das ist nicht unbekannt aber aus der deutschen Regierung hat beinahe niemand den Mut dies anzusprechen. Hier steckt sehr viel Geld, Macht und geostrategische Interessen hinter. Glaubt hier ernsthaft irgendjemand, dass dass alles treu gesetzeskonform und gewaltfrei abläuft? Putin war jahrlang selbst beim Geheimdienst. Ihm so eine Navalny-Dummheit pauschal zu unterstellen ist schon beinahe als äußerst naiv zu bewerten. Diese perfide Art, wie seit Jahren gegen Russland gehetzt wird, ist äußerst befremdlich. Und ja, natürlich steckt da eine Strategie dahinter. Wer das noch nicht erkannt hat, sollte dann langsam doch mal anfangen sich zu informieren.","lag, naiv, gehetzt, dumm, hund, leute, befremdlich, dummheit, fan, hunde, hetzt"
"Tzz, tzz, tzz.... Ich sehe hingegen mehr U60, die sich nicht an die Maßnahmen halten (wollen). Wohl sehr regional und klar subjektiv zu bewerten.","subjekt, ollen, alte, nahm, tzz, alten, olle"
"Warum vergleichen wir uns wiedermal mit anderen? Wir sollten die „Freiheit“ doch genieße und nicht in Frage stellen solange es mit bedacht und mit aller nötigen Sorgfalt angenommen wird. Wir können doch sehr froh darüber sein, dass es möglich ist, etwas zur Normalität über zu gehen im Gegensatz zu anderen Ländern & Städten. Man sollte auch nicht vergessen das der Fußball in Deutschland ein enormer Wirtschaftsfaktor ist. Andere Konzerne wurden doch sich mit Millionen € geholfen wurde... das die Gehälter sehr hoch sind liegt mit Sicherheit nicht an Corona und sonstiges. Die Manager in den Konzernen werden sicherlich auch Nicht auf alles verzichten!",deutschland
Nein vielen Dank ich stehe mit Corona auf und wenn ich ins Bett gehe will ich weder den Namen Corona noch Trump hören da wird mir schlecht 🤮,"🤮, echt, schlecht"
Man meckert über Trump wie schlecht er doch ist und wegen Corona - Hier wird Panik verbreitet alles ganz schlimm - Reisen soll man unterlassen aber die Grenzen sind immer noch offen? Wo es doch in den Nachbarländern ganz schlimm ist? Da kann jeder alles einschleppen an Corona? Die rein und raus fahren denen kann man nicht ansehen ob sie einen Virus haben. Trump ist erfrischend und macht Mut - nicht wie bei uns wo man jeden Tag nur Ängste schürt und man bald sterben könnte wenn man nicht brav ist.. Gruselig - etwas Mut braucht der Mensch.,"meckert, echt, schlimm, panik, schlecht"
"Ich bin alt(66), mir hat Corona viel mehr verbleibende Zeit gestohlen. Es macht keinen Unterschied wem diese Zeit gestohlen wird, sie ist verlohren.",unterschie
"@USER Dass es schon immer so war, ist erwiesenermaßen falsch. Als die Demokraten noch für Sklaverei eintraten, waren die Republikaner für die Abschaffung dieser. Erst mit Harding als Präsident wandelten sich die Republikaner zu einer konservativen Partei.","abschaffung, sklave, sklaverei"
Es gibt überall Demos auch hier..ein anderes Land ist immer schlecht wenn es die eigenen Politik nicht umsetzt...,"echt, schlecht"
🤔mal gucken ob 2016 wieder geschehen ist,"hehe, gucke"
"@USER Danke, das geht mir jetzt aber runter wie Öl. Diese Geschichte beschäftigt mich schon seit 1968. Damals als Marine-Soldat hatte ich die Aufgabe, einen 2 stündigen Vortrag über die Situation der Afroamerikaner zu halten. Nach langer Vorbereitung und großem Erfolg des Vortrags hat mich dieses Thema bis jetzt, nie mehr losgelassen.","alte, alten"
"@USER Auffallend viele Republikaner können mit ""ihrem"" Präsidenten nichts (mehr) anfangen.",fan
"Trump sagt ""america first"" und handelt danach. Deutsche Präsidenten und Kanzler*innen schwören:„Ich schwöre, dass ich meine Kraft dem Wohle des deutschen Volkes widmen, seinen Nutzen mehren, Schaden von ihm wenden, das Grundgesetz und die Gesetze des Bundes wahren und verteidigen, meine Pflichten gewissenhaft erfüllen und Gerechtigkeit gegen jedermann üben werde. So wahr mir Gott helfe.“ haben diese Wort aber schon vergessen, wenn sie den Plenarsaal verlassen. In den letzten 10 Jahren flossen mehr als 100 Mrd. € netto deutsche Steuergelder an die EU nach Corona sollen wieder netto über 90 Mrd. € deutsche Steuergelder an bedürftige Mitgliedsstaaten der EU fließen, ohne dass diese eigene Resourcen angegriffen haben. Z.B. Lastenausgleich.","ollen, nutzen, schaden, schade, echt, gewissenhaft, letzte, olle"
https://de.rt.com/inland/109859-neue-normal-studie-lebenszufriedenheit-kinder/,neue
@USER Inhaltich in großen Teilen ein guter Kommentar nur..einen Lockdown hattennwir nicht wirklich,eilen
"Was interessiert mich Trump , mich interessiert wie ich 2 Sachen aus Deutschland wieder los werde , Corona und Merkel .",deutschland
"@USER falsch. Ein Jahr im Leben eines Menschen ist ein Jahr im Leben eines Menschen. Niemand weiß, wieviel Lebenszeit einem noch bleibt, vielleicht stirbt der 20-jahrige noch vor Ihnen. Ich weiß nicht, woher die älteren Leute die Arroganz nehmen und glauben, ihre Lebenszeit wäre mehr wert als die der jungen Leute. Die jungen Leute trifft es halt nur zu einem früheren Zeitpunkt im Leben.","stirbt, arroganz, leute"
@USER die Sowjets haben es doch über Jahrzehnte in Deutschland probiert. Der Ausgang des ganzen ist eher traurig für die betroffenen Regionen. Der Fortschritt passierte im Westen. Und den Osten bauen wir seit der Wiedervereinigung auf. Hätten die Russen doch damals ihre tollen Rohstoffe bloß genutzt. ;),"deutschland, assi, ollen, traurig, toll, olle"
"#@MEDIUM Bis auf Karl Lauterbach versteht kein Diskussionsteilnehmer die Tücke von Covid19: Die Schnelligkeit des Infektionsgeschehens und die Langsamkeit des Meldegeschehens. Die anderen beziehen sich auf aktuelle Zahlen und wissen nicht, dass diese Zahlen längst veraltet sind. Es ist bedauerlich, dass das Verständnis für die Dynamik eines sich erst mit Verzögerung offenbarenden Infektionsgeschehens so wenig verbreitet ist.","zahlen, bedauerlich, alte, hehe"
"@USER da haben wir das Problem! Warum sollte man ""Kindern"" auch zuhören? Traurig ist das echt.","traurig, echt"
@USER falls es nicht aufgefallen sein sollte. Herr Lauterbach ist nicht für Schulen zuständig. Er hat lediglich die Möglichkeit mobiler Lüftungsanlagen ins Gespräch gebracht. Was ist daran falsch? Wären erneute Schulschließungen lieber? Wohl kaum,"lag, mob"
"@USER E-Mobilität hört sich gut an, aber es müssen dann auch die Batterien umweltfreundlich entsorgt werden und das funktioniert noch nicht","mob, entsorgt"
"Deutschland befindet sich gerade in Hypnose - im Coronafieber - im Gegenteil zu den USA. Trump zu sehen ist einfach erfrischend, er macht Mut und macht keine Angst wie sie uns jeden Tag eingeflößt wird und wie viel schlimmer alles kommen kann? Vielleicht wird es aber gar nicht so schlimm? Zumindest hat er gehalten was er versprochen hat, das muss man ihm lassen.","deutschland, schlimmer, angst, alte, schlimme, schlimm, alten"
"Die gravierenden Folgen einer Erkrankung werden verharmlost, die geringen Risiken einer Impfung aufgebauscht. Seltene Nebenwirkungen sehe ich eben erst, wenn ich Millionen geimpft und längere Zeit nachbeobachtet habe. Wie soll das anders gehen?",krank
"@USER ja kann man wenn einem nur das Geld wichtig ist. Dann kann man mit jeden zusammen arbeiten und schaut eben bei Mord auch mal weg, so wie es die CDU tut. Es ist eben die Frage wollen wir das als Gesellschaft auch. Ich sage klar Nein. Gerade als Deutsche sollten wir Moral zu schätzen wissen. Egal in welchem Land 🙄✌️","️, mord, ollen, 🙄, esel, egal, olle"
Man muss im Bezug Veranstaltung abwägen. Entweder da alles lahmlegen und es wird einige in der Veranstaltungsbranche pleite gehen. Oder hilft man der Veranstaltungsbranche genauso wie der luftfahrt und Autoindustrie? Sonst gibt es in diesen Bereich nächstes Jahr einige Pleiten und arbeitslose. Oder man gibt zumindest Veranstaltungen unter Bedingungen frei. Damit wenigstens einige noch den schaden begrenzen können. Ich erwarte da an Bereich noch ein paar Antworten aus der Politik. Für mich als jemand der im Veranstaltungsbereich arbeitet und momentan auf Kurzarbeit ist.,"schaden, schade, lose"
"@USER , Für Diejenigen, die sich impfen lassen wollen.","ollen, olle"
Seltsam,seltsam
Sie durfte / konnte leider nicht so viel sagen.. Lag am Weinberg😉.. Hat auch einen super tollen Akzent sehr sympathisch ✌️,"️, lag, ollen, super, sympathisch, toll, olle"
"Autos in den Staedten sofort verbieten, ohne wenn und aber. Bedigungsloses Universelles Grundeinkommen einfuehren, wie von Papst Franziskus gefordert. Dann kommen wir schnell der rettung naeher.","paps, lose"
"@USER da haben wir etwas gemeinsam, meine Mutter erzählte mir mal, dass sie das Rezept schon hatte, aber nichts genommen hat 🍀",mutter
Sie ist die Cousine von Louisa Neubauer und Teil (Erben) der Reemtsma Zigarettenfabriken.,"cousine, retten"
@USER das ist das schöne an der Demokratie jeder darf wählen was er möchte,wählen
"Welche grösste Opposition klein halten? Und ich wette mal, dass sie beim ""niederknüppeln"" von linken Demos kein Problem haben? Und welches Problem haben Sie mit der Wahl in Thüringen?","linken, alte, knüppeln, alten, linke, knüppel"
@USER impfen ❗️,️
Komisch nur dass die Mehrheit der Trump Männer sycophants Störenfried sind - um mild zu formulieren.,komisch
@USER wie soll Schwachsinn helfen ?,"schwachsinn, sinn"
Ich hab in der Mediathek die Doku von Ingo Zamperoni gesehen Klasse und super die Einblicke die er uns gewähren lässt Und es zeigt auch das ein Republikaner nicht unbedingt alles gut heißt was gerade läuft,super
@USER😂,😂
https://www.welt.de/gesundheit/article143404030/Narkolepsie-durch-Schweinegrippe-Impfung.html,"schweine, gesund, schwein"
"@USER Über 220000 Tote in den USA sprechen ja wohl für sich ... Ich sehe darin absolut nichts ""erfrischendes"" ...",tot
Stimmt. Die USA ähneln in vielen Dingen viel mehr einer Oligarchie. Das fängt schon beinm Electorial College an.,olle
@USER ich bilde mir meine Meinung durch Fakten und Argumente. Es gibt z.b die App Electricity Map. Dort kann man sehen das Sie hier Blödsinn verbreiten. Gibt auch beim Fraunhofer Institut hervorragende Ausarbeitungen. Aber dafür muss man sich mit dem Thema wirklich auseinander setzen.,"blödsin, blödsinn, blöd, setzen, sinn"
"Für Europa wird sich nichts ändern, die alten Männer und die Sümpfe hinter ihnen wird die „America First“ Politik fortführen. Europa sollte endlich zusammenrücken und mit einer demokratisch gewählten Stimme auftreten!","alte, alten"
@USER es gibt halt leider in jeder Altersgruppe asoziale Mitmenschen.,"alte, asozial, alter, sozi, asoziale, sozia"
Sorry ich finde die Diskussion total widersinnig. Wir schaffen es in Deutschland gerade die Zahlen niedrig zu halten während überall in Europa die Zahlen explodieren. Statt froh zu sein das wir nicht in der Lage von Frankreich Spanien und Co. sind schreien alle nach Lockerungen. Wenn wir jetzt lockern sind wir in ein paar Wochen genau in der selben Situation wie die anderen europäischen Länder. Jetzt ist keine Zeit zum Experimentieren gerade in Anbetracht dessen dass wir noch nie einen Winter mit Corona hatten.,"deutschland, lag, zahlen, alte, schreie, sinn, alten, schreien, affen, affe, tot"
"Nach Ihrer gestrigen Sendung steigt bei mir die Angst, dass es zu diesem ''Unfall'' kommt, vor allem dieser Mister Weinberg macht mir riesig Angst, er könnte für eine Mehrheit gesprochen haben/sprechen 🤔😔! Wir werden sehen, wie das mit der Gerechtigkeit/ Demokratie in den USA bestellt ist. Gute Gesundheit.","angst, 😔, gesund, mist, echt"
@USER... Da gebe ich Dir zu 100 % Recht 👍,echt
Klimaschutz ist heutiger Faschismus,faschismus
@USER wozu hängt er es an die große Glocke?? Stimmenfang?,fan
"@USER...richtig... die überbevölkerung ist das grösste problem... eine weltweite 1-kind-politik könnte eher helfen, als die co2-verseuchte e-auto-akku-produktion, z.b. ...","verseucht, verseuchte"
Er hat einfach Recht.,echt
"Das Schlimme ist ja, das eben kein Licht am Ende des Tunnels für die jungen Leute zu sehen ist! Was kommt dann? Impfpflicht und dann die Folgeschäden der unsäglichen unnötigen Maßnahmen...","schlimme, nahm, leute, schlimm"
"Oje, was hier alles unreflektiert zu lesen ist! Ihr Impfgegner macht euch gar nicht klar, welchen Fortschritt Impfungen bedeuten: auch schon ohne Corona wären viele von euch heute gar nicht mehr am Leben ohne Impfungen, Hygienemaßnahmen und Schulmedizin.",nahm
"Impfgegner haha,wir haben einfach nur angst um unsere Gesundheit. Ich will nicht durch ne Impfung krank werden in 2 oder 3 Jahren.","krank, angst, gesund, haha"
"@USER was genau sind denn die gravierenden Folgen der Erkrankung? Wie viel % der positiv getesteten haben Symptome, wie viele davon schwere, wie viele werden hospitalisiert, wie viele haben Langzeitfolgen (konnte mir das Bundesminsterium für Gesundheit unter Ihrem häufig geposteten Video leider nicht beantworten, da nicht gesichert), wie viele davon sind in welcher Altersklasse Vertretern, wie viele sterben (das ist global gesichert - ca 0,2%, bei unter 70jährigen 0,04%). Wir sehen im Moment sehr viel rote Zahlen und Panikbilder in den Medien, aber oben genannte kompakte Auswertung habe ich bisher noch nicht in der Öffentlichkeit gesehen, leider.","krank, zahlen, alte, gesund, alter, panik, pak"
"wenns stimmt, dann find ich das gut. die politische führung sollte versuchen, vertrauen zurückzugewinnen.","vertrauen, trauen"
"@USER die, die sich nicht dranhalten, spalten!","alte, alten"
"@USER schon erstaunlich wie vielen ihr Kommentar gefällt, obwohl er null Sinn ergibt 😅 Seit wann sind Rauchen, Übergewicht oder Alkohol 'Nebenwirkungen'? Für mich sind das eher Risikofaktoren, wie Rafael Schulz ja auch schon sagte..",sinn
Die 1% Super-Reichen.,super
"@USER Ich habe auch bis zum Ende ausgehalten. Das Faszinierende ist für mich, dass Leute mit Bildung auch Trump wählen, obwohl sie es - aus unserer europäischen Sicht - besser wissen müssten. Weinberg war ein gutes Beispiel. Ich bin da einfach fassungslos.","wählen, alte, leute, alten"
@USER Vollkommener Blödsinn!,"blödsin, blödsinn, blöd, sinn"
Ich hoffe die Demonstrationen in Deutschland gehen auch um die Welt,deutschland
"@USER Ja, es wäre so schön, wenn sich Russland unter die zivilisierten Völker Europas einreihen und mit diesen zusammenarbeiten würde. Stattdessen bedroht es seine Nachbarn, betreibt eine wahnwitzige Aufrüstung und möchte aus einem Armenhaus eine Großmacht machen - was schon der Sowjetunion nicht gelungen ist und unter Putin erneut krachend scheitern wird.","wahn, narbe, arme, witz, witzig, armen, witzige"
Donald Tramp armer alter Mann!,"alte, arme, armer, alter"
"Bitte macht einmal eine Sendung, in der genau aufgezeigt wird, wie viele infizierte Personen es in Deutschland seit März gegeben hat und wie die Infektion bei den Meisten verlaufen ist. Eine Schwalbe macht noch keinen Sommer. Grippe verläuft auch nicht immer gleich gut oder schlimm. Nein, ich bin kein Coronaleugner, nur diese Angstschürrerei ist nervtötend.","deutschland, angst, infiziert, nervtötend, töte, schlimm., nervt, schlimm, töten"
@USER lesen Sie doch einfach den Ausgangspost von @MEDIUM - das zu tun ist Grundlage von Diskussionen hier auf FB - nicht einfach nur dagegen schießen,"lag, schieße, schießen"
Was heisst dort lassen sollen? Der ist nur nach Deutschland gekommen weil es die Russen so erlaubt haben. Deutschland hatte da garnicht's zu entscheiden.,"deutschland, ollen, olle"
"Wann laden Sie endlich mal Bürger ein, die sich nicht das grüne Wahlkampf-Paket leisten können?","kam, pak"
Die Wahrheit war schon immer eine Zumutung.,zumutung
Ich hoffe ihre Gäste werden Recht behalten und Jo Biden wird Präsident. Noch mal 4 Jahre Trump und der bringt die ganze Welt durcheinander😥,"alte, echt, alten"
"Kann man nicht erst schauen, ob man gegen Corona Immun ist, bevor man sich impfen lässt? So wie bei Masern, Windpocken, Hepatitis Außerdem würde das dich Impfstoffe einsparen.........",hauen
"@USER Einverstanden. Dass die Tests ausreichen, muss plausibel dargestellt sein. Da war ja nur Trump dagegen, was die Pharmafirmen blockierten: Käme Impfen in Verruf, würde sich keiner impfen lassen. Auch und gerade die Hersteller wollen Sicherheit! Politics, Science and the Remarkable Race for a Coronavirus Vaccine https://nyti.ms/3pTBVfE","ollen, olle"
"Bei Herrn Weinberg ist schon ""Sozialist"", wer nur für eine Krankenversicherung für alle Bürger ist.","krank, kranken, sozialist, sozi, kranke, sozia"
@USER So ein Unsinn.,"unsinn., sinn, unsinn"
"Warum müssen „wir“ auf den Anschlag reagieren - sind uns noch nicht einmal alle Fakten bekannt! Reagieren wir bei China, USA, Saudi Arabien, .....? Also warum bei Nawalny? Oder geht es in der Tat nur um NordStream 2? Dann sitzen die Hintermänner wohl nicht im Kreml","lag, sau, agieren"
"Oh gott, mittlerweile weiß jedes Kind, daß Russland am wenigstens mit der Vergiftung zu tun hat. Und die teure Pipeline still legen ist einfach nur Wahnsinn","wahn, sinn, wahnsinn"
Er ist der aller schlimmste Präsident das Amerika je hatte ....,schlimm
"@USER , lächerlich!",lächerlich
Ich wohne auf dem Land. Ich brauche mein Auto. Was passiert mit dem Elektroschrott?,"assi, schrott"
"80,2 zu 78,6. Ergibt auf/abgerundet ein Jahr Unterschied, so gesehen hat er Recht.","unterschie, echt"
@USER Hat doch die USA gefordert vor einigen Wochen. Da gab es die Nawalny-Problematik noch nicht. Gesichtswahrend kann dies nun als Grund herangezogen werden.,zog
@USER 🤦‍♂️,"🤦‍, ️"
Warum wird nicht mal pro und contra eingeladen? Immer nur die selbe Leier. Kein Bock drauf. Alle sind der selben Meinung und das soll eine Diskussion werden? Lächerlich.,"lächerlich, lächerlich."
"Frau Kerestan hat in jedem Fall gegenüber dem „Auslandsrepublikaner“ eine gute Figur gemacht und gezeigt, dass man offensichtlich bei den Demokraten nicht auf „whataboutism“ zurückgreifen muss, um eine Botschaft zu haben und diese auch zu erklären.",ausland
"Wir bringen die Natur aus dem Gleichgewicht,in dem wir uns für Elektroautos stark machen,nur das wir für den Rohstoff für derenAutobatterien,Grundwasser abpumpen.Was ist an diesen Autos umweltfreundlich?Wir vernichten Natur,welche CO2 speichert und in Sauerstoff umwandelt.Alle Projekte die Natur zerstören müssen noch mal neu überdacht werden.Die A49 ist das beste Beispiel,für rücksichtsloses handeln.Angeblich kann man CO2 in den Boden schießen,wäre aber zu teuer.","zerstören, sau, schieße, vernichte, vernichten, lose, schießen"
Es würgt mich... habe umgeschaltet..,alte
"Wenn der soziale Frieden gewährleistet ist, wird es auch erfolgreichen Klimaschutz geben. Ich sehe eine neue Elite heranwachsen die im ""Kampf gegen Klimawandel"" ein lukratives Geschäftsmodell sieht und dafür ein Heer von Arbeitslosen in Kauf nimmt.","neue, kam, sozi, sozia, lose, losen"
"Normalität werden wir so schnell nicht erhalten. Selbst wenn es einen Impfstoff geben sollte, der ""erstmal"" wirkt, ist noch nicht geklärt, wie lange die Impfung immun machen wird. Solche Ergebnisse bekommt man nicht in 6 Wochen. Da braucht man Langzeit-Studien, keine Schnellschüsse.","alte, alten"
@USER Schwachsinn!,"schwachsinn, sinn"
"Alles kann Trump ja nicht falsch gemacht haben und immerhin hatte er die Wahl gewonnen. Zumindest hat er gehalten was er versprochen hat was man von unserer Regierung nicht sagen kann. Zumindest versetzt er sein Land nicht in Angst und Schrecken wie es bei uns getan wird. Demokratisch wäre es wenigstens an Trump noch einen guten Fetzen zu lassen aber so ist es in der Politik wohl, einer gönnt dem anderen nichs.","angst, alte, alten"
"Herr Hallervorden hat schon recht, bordelle offen und erlaubt, theater ect. verboten wie soll man dies verstehen und nachvollziehen können? GEnauso ist es nicht nachvollziehbar und verständlich, die Politiker unterhaltén sich über einen 2.ten lookdown und es werden flüchtlinge ohne tests ohne schutzmasken ect. schutzmassnahmen rein geholt . Gibts dafür eine Erklärung von dem Gast Dr. Lauterbach?Wäre sehr wichtig wenn diese Frage beantwortet werden würde, dies fragen sich eine große Menge von Menschen hier im Lande.","oo, flüchtlinge, nahm, echt, flüchtling"
